month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2024-05,Anxiety Disorders,RaceEthnicity,"Black, NH",1563
2024-05,Anxiety Disorders,RaceEthnicity,Hispanic,1963
2024-05,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1714
2024-05,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1265
2024-05,Anxiety Disorders,RaceEthnicity,"White, NH",2994
2024-04,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2765
2024-04,Anxiety Disorders,RaceEthnicity,All,2448
2024-04,Anxiety Disorders,RaceEthnicity,"Asian, NH",1423
2024-04,Anxiety Disorders,RaceEthnicity,"Black, NH",1551
2024-04,Anxiety Disorders,RaceEthnicity,Hispanic,1964
2024-04,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1715
2024-04,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1343
2024-04,Anxiety Disorders,RaceEthnicity,"White, NH",3040
2024-03,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2819
2024-03,Anxiety Disorders,RaceEthnicity,All,2447
2024-03,Anxiety Disorders,RaceEthnicity,"Asian, NH",1425
2024-03,Anxiety Disorders,RaceEthnicity,"Black, NH",1545
2024-03,Anxiety Disorders,RaceEthnicity,Hispanic,1935
2024-03,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1721
2024-03,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1318
2024-03,Anxiety Disorders,RaceEthnicity,"White, NH",3051
2024-02,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2882
2024-02,Anxiety Disorders,RaceEthnicity,All,2437
2024-02,Anxiety Disorders,RaceEthnicity,"Asian, NH",1462
2024-02,Anxiety Disorders,RaceEthnicity,"Black, NH",1519
2024-02,Anxiety Disorders,RaceEthnicity,Hispanic,1947
2024-02,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1699
2024-02,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1296
2024-02,Anxiety Disorders,RaceEthnicity,"White, NH",3035
2024-01,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2773
2024-01,Anxiety Disorders,RaceEthnicity,All,2433
2024-01,Anxiety Disorders,RaceEthnicity,"Asian, NH",1407
2024-01,Anxiety Disorders,RaceEthnicity,"Black, NH",1495
2024-01,Anxiety Disorders,RaceEthnicity,Hispanic,1942
2024-01,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1683
2024-01,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1446
2024-01,Anxiety Disorders,RaceEthnicity,"White, NH",3040
2023-12,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2587
2023-12,Anxiety Disorders,RaceEthnicity,All,2227
2023-12,Anxiety Disorders,RaceEthnicity,"Asian, NH",1278
2023-12,Anxiety Disorders,RaceEthnicity,"Black, NH",1366
2023-12,Anxiety Disorders,RaceEthnicity,Hispanic,1753
2023-12,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1545
2023-12,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1351
2023-12,Anxiety Disorders,RaceEthnicity,"White, NH",2815
2023-11,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2631
2023-11,Anxiety Disorders,RaceEthnicity,All,2358
2023-11,Anxiety Disorders,RaceEthnicity,"Asian, NH",1432
2023-11,Anxiety Disorders,RaceEthnicity,"Black, NH",1455
2023-11,Anxiety Disorders,RaceEthnicity,Hispanic,1860
2023-11,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1704
2023-11,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1276
2023-11,Anxiety Disorders,RaceEthnicity,"White, NH",2975
2023-10,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2826
2023-10,Anxiety Disorders,RaceEthnicity,All,2474
2023-10,Anxiety Disorders,RaceEthnicity,"Asian, NH",1521
2023-10,Anxiety Disorders,RaceEthnicity,"Black, NH",1544
2023-10,Anxiety Disorders,RaceEthnicity,Hispanic,1968
2023-10,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1753
2023-10,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1540
2023-10,Anxiety Disorders,RaceEthnicity,"White, NH",3098
2023-09,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2779
2023-09,Anxiety Disorders,RaceEthnicity,All,2475
2023-09,Anxiety Disorders,RaceEthnicity,"Asian, NH",1580
2023-09,Anxiety Disorders,RaceEthnicity,"Black, NH",1573
2023-09,Anxiety Disorders,RaceEthnicity,Hispanic,1997
2023-09,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1776
2023-09,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1504
2023-09,Anxiety Disorders,RaceEthnicity,"White, NH",3083
2023-08,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2755
2023-08,Anxiety Disorders,RaceEthnicity,All,2529
2023-08,Anxiety Disorders,RaceEthnicity,"Asian, NH",1524
2023-08,Anxiety Disorders,RaceEthnicity,"Black, NH",1594
2023-08,Anxiety Disorders,RaceEthnicity,Hispanic,2115
