month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2022-07,Anxiety Disorders,Age,18-34 years,2987
2022-07,Anxiety Disorders,Age,35-64 years,2972
2022-07,Anxiety Disorders,Age,65+ years,2353
2022-07,Anxiety Disorders,Age,All,2490
2022-06,Anxiety Disorders,Age,12-17 years,2323
2022-06,Anxiety Disorders,Age,18-34 years,2992
2022-06,Anxiety Disorders,Age,35-64 years,3010
2022-06,Anxiety Disorders,Age,65+ years,2371
2022-06,Anxiety Disorders,Age,All,2476
2022-05,Anxiety Disorders,Age,12-17 years,2402
2022-05,Anxiety Disorders,Age,18-34 years,3057
2022-05,Anxiety Disorders,Age,35-64 years,3059
2022-05,Anxiety Disorders,Age,65+ years,2385
2022-05,Anxiety Disorders,Age,All,2470
2022-04,Anxiety Disorders,Age,12-17 years,2542
2022-04,Anxiety Disorders,Age,18-34 years,3220
2022-04,Anxiety Disorders,Age,35-64 years,3238
2022-04,Anxiety Disorders,Age,65+ years,2506
2022-04,Anxiety Disorders,Age,All,2629
2022-03,Anxiety Disorders,Age,12-17 years,2873
2022-03,Anxiety Disorders,Age,18-34 years,3369
2022-03,Anxiety Disorders,Age,35-64 years,3345
2022-03,Anxiety Disorders,Age,65+ years,2552
2022-03,Anxiety Disorders,Age,All,2746
2022-02,Anxiety Disorders,Age,12-17 years,3023
2022-02,Anxiety Disorders,Age,18-34 years,3462
2022-02,Anxiety Disorders,Age,35-64 years,3404
2022-02,Anxiety Disorders,Age,65+ years,2592
2022-02,Anxiety Disorders,Age,All,2844
2022-01,Anxiety Disorders,Age,12-17 years,2385
2022-01,Anxiety Disorders,Age,18-34 years,2820
2022-01,Anxiety Disorders,Age,35-64 years,2982
2022-01,Anxiety Disorders,Age,65+ years,2426
2022-01,Anxiety Disorders,Age,All,2476
2021-12,Anxiety Disorders,Age,12-17 years,2272
2021-12,Anxiety Disorders,Age,18-34 years,2718
2021-12,Anxiety Disorders,Age,35-64 years,2949
2021-12,Anxiety Disorders,Age,65+ years,2420
2021-12,Anxiety Disorders,Age,All,2378
2021-11,Anxiety Disorders,Age,12-17 years,2577
2021-11,Anxiety Disorders,Age,18-34 years,3145
2021-11,Anxiety Disorders,Age,35-64 years,3227
2021-11,Anxiety Disorders,Age,65+ years,2516
2021-11,Anxiety Disorders,Age,All,2603
2021-10,Anxiety Disorders,Age,12-17 years,2542
2021-10,Anxiety Disorders,Age,18-34 years,3306
2021-10,Anxiety Disorders,Age,35-64 years,3350
2021-10,Anxiety Disorders,Age,65+ years,2587
2021-10,Anxiety Disorders,Age,All,2714
2021-09,Anxiety Disorders,Age,12-17 years,2351
2021-09,Anxiety Disorders,Age,18-34 years,3225
