month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2023-11,Any Mental Health,Sex,Female,5026
2023-11,Any Mental Health,Sex,Male,4788
2023-10,Any Mental Health,Sex,All,5137
2023-10,Any Mental Health,Sex,Female,5301
2023-10,Any Mental Health,Sex,Male,4959
2023-09,Any Mental Health,Sex,All,5104
2023-09,Any Mental Health,Sex,Female,5287
2023-09,Any Mental Health,Sex,Male,4908
2023-08,Any Mental Health,Sex,All,5173
2023-08,Any Mental Health,Sex,Female,5355
2023-08,Any Mental Health,Sex,Male,4974
2023-07,Any Mental Health,Sex,All,5244
2023-07,Any Mental Health,Sex,Female,5420
2023-07,Any Mental Health,Sex,Male,5057
2023-06,Any Mental Health,Sex,All,5234
2023-06,Any Mental Health,Sex,Female,5394
2023-06,Any Mental Health,Sex,Male,5066
2023-05,Any Mental Health,Sex,All,5224
2023-05,Any Mental Health,Sex,Female,5420
2023-05,Any Mental Health,Sex,Male,5010
2023-04,Any Mental Health,Sex,All,5352
2023-04,Any Mental Health,Sex,Female,5548
2023-04,Any Mental Health,Sex,Male,5139
2023-03,Any Mental Health,Sex,All,5419
2023-03,Any Mental Health,Sex,Female,5572
2023-03,Any Mental Health,Sex,Male,5255
2023-02,Any Mental Health,Sex,All,5462
2023-02,Any Mental Health,Sex,Female,5630
2023-02,Any Mental Health,Sex,Male,5279
2023-01,Any Mental Health,Sex,All,5516
2023-01,Any Mental Health,Sex,Female,5665
2023-01,Any Mental Health,Sex,Male,5354
2022-12,Any Mental Health,Sex,All,4810
2022-12,Any Mental Health,Sex,Female,4933
2022-12,Any Mental Health,Sex,Male,4687
2022-11,Any Mental Health,Sex,All,4655
2022-11,Any Mental Health,Sex,Female,4797
2022-11,Any Mental Health,Sex,Male,4504
2022-10,Any Mental Health,Sex,All,4965
2022-10,Any Mental Health,Sex,Female,5160
2022-10,Any Mental Health,Sex,Male,4752
2022-09,Any Mental Health,Sex,All,5087
2022-09,Any Mental Health,Sex,Female,5312
2022-09,Any Mental Health,Sex,Male,4844
2022-08,Any Mental Health,Sex,All,5150
2022-08,Any Mental Health,Sex,Female,5349
2022-08,Any Mental Health,Sex,Male,4936
2022-07,Any Mental Health,Sex,All,5152
2022-07,Any Mental Health,Sex,Female,5334
2022-07,Any Mental Health,Sex,Male,4961
2022-06,Any Mental Health,Sex,All,5193
2022-06,Any Mental Health,Sex,Female,5384
2022-06,Any Mental Health,Sex,Male,4991
2022-05,Any Mental Health,Sex,All,5263
2022-05,Any Mental Health,Sex,Female,5487
2022-05,Any Mental Health,Sex,Male,5036
2022-04,Any Mental Health,Sex,All,5541
2022-04,Any Mental Health,Sex,Female,5784
2022-04,Any Mental Health,Sex,Male,5333
2022-03,Any Mental Health,Sex,All,5824
2022-03,Any Mental Health,Sex,Female,6050
2022-03,Any Mental Health,Sex,Male,5639
2022-02,Any Mental Health,Sex,All,6041
2022-02,Any Mental Health,Sex,Female,6313
2022-02,Any Mental Health,Sex,Male,5813
2022-01,Any Mental Health,Sex,All,5196
2022-01,Any Mental Health,Sex,Female,5353
2022-01,Any Mental Health,Sex,Male,5086
2021-12,Any Mental Health,Sex,All,4937
2021-12,Any Mental Health,Sex,Female,5105
2021-12,Any Mental Health,Sex,Male,4820
