time_lst,tas,ps,hurs,sfcWind,rsds,huss
2004-01-31,13.187920272755376,101122.09131419355,50.1567938006586,1.7474798387096775,138.44192642955647,8.262632072983871
2004-02-29,15.753112488692528,100905.39505235633,51.28402670153736,1.5998482500316094,147.74473395323275,5.19331854224569
2004-03-31,12.36021505376344,100794.59366205645,80.73509286412634,1.8895833333333332,232.8534946236559,13.986865038844085
2004-04-30,14.769733552631944,100881.08233652778,71.84652777777778,1.7245175438597222,255.15094298245833,5.482339875
2004-05-31,17.15241267276882,100483.31777557795,83.69647281883064,1.5655415858360213,224.63288449319893,6.412204286172043
2004-06-30,17.818073278555556,100488.89539277778,85.26079287608333,1.7234337916777778,277.0548619738889,15.133417327083334
2004-07-31,19.348803609327955,100506.19654215053,84.17524989603494,1.6075673640981183,285.15259454047043,6.890904743548387
2004-08-31,20.774401724099462,100429.28431626344,79.59354744762096,1.5077956989247312,280.42664843919357,4.662795428225807
2004-09-30,19.389141812861112,100379.64516305555,80.61206807529167,1.4646566764125002,244.84395061722222,14.99087246375
2004-10-31,18.592093894005377,100758.5079955645,64.39247311827957,1.5672267025080644,191.23575908857526,7.051535321370968
2004-11-30,14.864410107979168,100818.59819295832,74.99674343959722,1.5191951188305555,145.29355471308332,5.410247864305556
2004-12-31,13.716532258064516,101282.41253387097,56.76555299538979,1.5145609318991935,114.95430107526882,17.513654142741938
2005-01-31,13.231953904569894,101016.80507793011,60.194581038548385,2.0658208759502688,150.07050878573924,10.573263236306452
2005-02-28,12.558696161056549,100911.79353675594,78.8716894061012,1.475892439138393,137.8203334002232,4.731343466360119
2005-03-31,14.71552724829301,101024.9949688172,69.07011648745967,2.0512395459973116,248.62041788856183,14.944494355909947
2005-04-30,16.511530257930556,100730.40554097222,70.10448082009722,1.9440813840152777,274.6777777777778,7.837584534158333
2005-05-31,17.044243655215052,100658.81084153226,69.57440354942204,2.092843863692204,317.23929741841397,5.768643364385753
2005-06-30,17.192168196527778,100475.81478602778,83.49266118002778,1.8829264540916666,301.1727943861542,13.481897011952778
2005-07-31,18.7906771043414,100668.71658938171,86.45498051987903,1.7915030714825266,302.96896374166664,7.705379871370968
2005-08-31,19.246692543373655,100549.0685233199,82.79180149720429,1.6584615901612902,272.41669960848117,6.337372039516129
2005-09-30,19.170183966847222,100401.21413847222,78.08009259258333,1.6889428780277778,245.36444499556944,12.465560990281945
2005-10-31,17.270497311827956,100653.06287647849,75.45116487455644,1.402948028673387,188.26626344086023,9.06766841291129
2005-11-30,15.43941395204861,100781.80183458333,70.13098545616666,1.39588021685,144.77770853154166,5.662174274583333
2005-12-31,12.173847926263441,101115.59597943549,58.76545698924731,1.6670698924731182,113.38037634408602,14.557235863176075
2006-01-31,12.916532258064516,101080.33070736559,59.06885810447581,1.6820921846317205,115.8349572421102,12.66290579341801
2006-02-28,12.889347578928572,101196.17655773809,68.50737693952381,1.4714001471383928,171.13579537854167,6.411963455044643
2006-03-31,13.584555229717742,100957.82481962367,69.87791218637096,1.8243578255672042,239.08118822645162,11.699820135752688
